return_ts,order_dt,order_id,reason
2024-09-01 00:28:15,2024-08-17,255242,Quality Issue
2024-09-01 00:35:30,2024-08-19,257597,Late Delivery
2024-09-01 02:04:02,2024-08-20,258701,Wrong Item
2024-09-01 03:22:16,2024-08-23,260752,Other
2024-09-01 05:19:33,2024-08-20,258830,Wrong Item
2024-09-01 05:24:44,2024-08-19,256833,Damaged
2024-09-01 06:42:17,2024-08-22,259472,Damaged
2024-09-01 07:23:58,2024-08-21,259377,Quality Issue
2024-09-01 07:44:47,2024-08-18,255971,Damaged
2024-09-01 07:51:20,2024-08-23,260790,Quality Issue
2024-09-01 08:15:32,2024-08-25,263632,Wrong Item
2024-09-01 09:07:34,2024-08-19,257607,Wrong Item
2024-09-01 09:08:12,2024-08-18,256044,Late Delivery
2024-09-01 09:56:54,2024-08-22,259423,Damaged
2024-09-01 10:28:21,2024-08-18,256207,Wrong Item
2024-09-01 10:31:36,2024-08-23,260680,Damaged
2024-09-01 10:39:34,2024-08-18,255662,Quality Issue
2024-09-01 11:02:08,2024-08-22,260201,Wrong Item
2024-09-01 13:43:14,2024-08-19,257141,Late Delivery
2024-09-01 13:59:08,2024-08-24,261550,Late Delivery
2024-09-01 15:51:56,2024-08-24,261547,Damaged
2024-09-01 15:53:26,2024-08-21,258941,Damaged
2024-09-01 16:55:21,2024-08-18,256362,Wrong Item
2024-09-01 17:07:16,2024-08-18,255382,Quality Issue
2024-09-01 18:34:32,2024-08-19,257717,Late Delivery
2024-09-01 19:18:24,2024-08-20,258022,Damaged
2024-09-01 19:18:27,2024-08-23,260583,Other
2024-09-01 19:20:24,2024-08-26,264414,Other
2024-09-01 19:57:45,2024-08-21,258898,Wrong Item
2024-09-01 20:49:13,2024-08-23,261382,Other
2024-09-01 21:23:10,2024-08-27,265005,Wrong Item
2024-09-01 22:04:08,2024-08-23,260393,Wrong Item
2024-09-01 22:22:00,2024-08-20,258123,Damaged
2024-09-01 22:38:05,2024-08-22,259532,Late Delivery
2024-09-01 23:36:54,2024-08-19,257721,Wrong Item
2024-09-02 00:42:12,2024-08-19,257426,Other
2024-09-02 00:43:43,2024-08-23,261086,Wrong Item
2024-09-02 01:09:20,2024-08-21,259340,Quality Issue
2024-09-02 01:36:31,2024-08-16,253529,Damaged
2024-09-02 02:54:04,2024-08-22,259695,Damaged
2024-09-02 03:04:25,2024-08-21,258961,Late Delivery
2024-09-02 04:44:19,2024-08-19,256947,Damaged
2024-09-02 04:58:11,2024-08-27,265082,Quality Issue
2024-09-02 05:36:00,2024-08-24,261735,Wrong Item
2024-09-02 05:51:45,2024-08-18,256350,Damaged
2024-09-02 06:25:40,2024-08-23,260763,Damaged
2024-09-02 08:39:02,2024-08-20,258333,Wrong Item
2024-09-02 08:55:41,2024-08-21,259333,Damaged
2024-09-02 10:28:15,2024-08-22,259915,Quality Issue
2024-09-02 10:46:12,2024-08-22,260265,Late Delivery
2024-09-02 10:51:30,2024-08-22,260118,Wrong Item
2024-09-02 12:08:07,2024-08-19,257587,Damaged
2024-09-02 13:06:13,2024-08-20,258116,Quality Issue
2024-09-02 13:38:11,2024-08-22,260079,Wrong Item
