return_ts,order_dt,order_id,reason
2024-03-01 00:22:03,2024-02-17,51549,Wrong Item
2024-03-01 01:10:41,2024-02-20,54885,Late Delivery
2024-03-01 01:56:40,2024-02-18,53321,Wrong Item
2024-03-01 03:45:13,2024-02-15,49292,Late Delivery
2024-03-01 04:54:25,2024-02-16,50577,Damaged
2024-03-01 05:13:19,2024-02-20,55438,Damaged
2024-03-01 05:19:07,2024-02-17,51476,Wrong Item
2024-03-01 05:26:07,2024-02-23,58200,Wrong Item
2024-03-01 05:34:08,2024-02-19,54094,Late Delivery
2024-03-01 06:05:29,2024-02-17,52353,Other
2024-03-01 06:25:09,2024-02-17,52114,Late Delivery
2024-03-01 07:05:37,2024-02-17,51991,Damaged
2024-03-01 07:13:35,2024-02-21,56156,Late Delivery
2024-03-01 07:16:03,2024-02-17,51166,Late Delivery
2024-03-01 09:45:09,2024-02-17,50788,Wrong Item
2024-03-01 10:18:44,2024-02-15,49651,Wrong Item
2024-03-01 10:33:31,2024-02-19,54092,Late Delivery
2024-03-01 10:49:08,2024-02-17,50765,Late Delivery
2024-03-01 12:48:57,2024-02-21,56569,Quality Issue
2024-03-01 13:26:11,2024-02-22,56850,Damaged
2024-03-01 13:39:40,2024-02-23,58145,Damaged
2024-03-01 13:44:36,2024-02-16,50414,Late Delivery
2024-03-01 15:11:14,2024-02-24,58733,Quality Issue
2024-03-01 15:25:30,2024-02-18,52737,Wrong Item
2024-03-01 15:34:13,2024-02-22,57396,Damaged
2024-03-01 15:48:46,2024-02-21,56393,Damaged
2024-03-01 16:53:28,2024-02-21,55802,Wrong Item
2024-03-01 20:09:51,2024-02-24,58747,Damaged
2024-03-01 20:25:04,2024-02-21,55927,Late Delivery
2024-03-01 20:42:45,2024-02-18,53501,Damaged
2024-03-01 20:53:43,2024-02-24,59368,Other
2024-03-01 21:15:47,2024-02-17,52188,Other
2024-03-01 21:25:53,2024-02-18,53562,Wrong Item
2024-03-01 21:36:16,2024-02-17,51349,Damaged
2024-03-01 22:06:12,2024-02-13,47171,Damaged
2024-03-01 22:57:10,2024-02-18,52733,Late Delivery
2024-03-02 01:07:59,2024-02-19,54182,Late Delivery
2024-03-02 01:34:48,2024-02-14,48456,Wrong Item
2024-03-02 02:16:01,2024-02-17,51263,Wrong Item
2024-03-02 02:35:05,2024-02-23,57891,Wrong Item
2024-03-02 02:55:55,2024-02-17,52039,Wrong Item
2024-03-02 03:21:44,2024-02-22,57358,Quality Issue
2024-03-02 03:29:39,2024-02-18,53508,Wrong Item
2024-03-02 03:42:40,2024-02-17,52140,Late Delivery
2024-03-02 04:10:17,2024-02-18,52502,Other
2024-03-02 05:48:29,2024-02-25,60682,Damaged
2024-03-02 05:53:29,2024-02-24,58480,Late Delivery
2024-03-02 05:58:47,2024-02-21,55866,Quality Issue
2024-03-02 06:07:03,2024-02-19,54233,Quality Issue
2024-03-02 06:09:58,2024-02-22,57310,Damaged
2024-03-02 06:51:05,2024-02-18,52852,Damaged
2024-03-02 07:05:18,2024-02-17,52160,Damaged
2024-03-02 08:06:48,2024-02-18,53730,Other
2024-03-02 08:17:42,2024-02-17,51477,Damaged
2024-03-02 08:23:50,2024-02-15,49035,Late Delivery
2024-03-02 08:51:38,2024-02-18,53573,Late Delivery
2024-03-02 09:33:52,2024-02-17,50908,Wrong Item
2024-03-02 10:28:48,2024-02-18,52712,Wrong Item
2024-03-02 10:45:38,2024-02-21,56362,Wrong Item
2024-03-02 12:10:04,2024-02-18,53517,Wrong Item
2024-03-02 12:13:12,2024-02-21,55991,Wrong Item
2024-03-02 13:25:41,2024-02-23,58201,Damaged
2024-03-02 14:20:15,2024-02-20,55060,Other
2024-03-02 14:35:36,2024-02-18,52632,Late Delivery
2024-03-02 15:01:16,2024-02-21,56785,Quality Issue
2024-03-02 15:01:55,2024-02-25,60319,Wrong Item
2024-03-02 16:19:33,2024-02-24,58624,Late Delivery
2024-03-02 16:28:10,2024-02-17,51898,Late Delivery
2024-03-02 17:05:07,2024-02-21,55747,Late Delivery
2024-03-02 17:41:08,2024-02-16,50124,Late Delivery
2024-03-02 17:47:38,2024-02-17,51416,Quality Issue
2024-03-02 18:45:25,2024-02-18,53609,Late Delivery
2024-03-02 18:51:39,2024-02-20,55469,Quality Issue
2024-03-02 18:56:48,2024-02-21,56678,Wrong Item
2024-03-02 19:53:33,2024-02-23,58219,Late Delivery
2024-03-02 22:23:37,2024-02-25,60699,Late Delivery
2024-03-02 22:42:50,2024-02-23,57835,Other
2024-03-02 23:04:51,2024-02-17,52182,Wrong Item
2024-03-02 23:31:49,2024-02-18,52635,Quality Issue
2024-03-03 01:00:40,2024-02-18,52756,Damaged
2024-03-03 01:08:51,2024-02-22,57279,Other
2024-03-03 02:11:27,2024-02-22,57010,Quality Issue
2024-03-03 02:41:12,2024-02-18,52529,Damaged
2024-03-03 02:59:47,2024-02-17,50749,Damaged
2024-03-03 03:10:20,2024-02-24,59097,Quality Issue
2024-03-03 03:26:07,2024-02-18,52436,Wrong Item
2024-03-03 04:09:59,2024-02-20,54789,Other
2024-03-03 04:12:01,2024-02-17,51671,Damaged
2024-03-03 05:44:15,2024-02-18,53339,Damaged
2024-03-03 07:32:19,2024-02-18,53240,Late Delivery
2024-03-03 07:42:15,2024-02-26,61214,Damaged
2024-03-03 08:39:26,2024-02-17,50969,Late Delivery
2024-03-03 09:07:58,2024-02-20,54911,Other
2024-03-03 09:51:57,2024-02-22,56916,Damaged
2024-03-03 10:30:51,2024-02-22,57303,Wrong Item
2024-03-03 10:49:39,2024-02-23,57726,Damaged
2024-03-03 11:01:15,2024-02-18,52892,Damaged
2024-03-03 11:56:06,2024-02-17,52222,Late Delivery
2024-03-03 12:29:53,2024-02-21,56756,Wrong Item
2024-03-03 12:34:57,2024-02-21,56070,Other
2024-03-03 12:36:46,2024-02-18,53418,Late Delivery
2024-03-03 13:26:24,2024-02-18,53101,Quality Issue
2024-03-03 13:28:55,2024-02-15,49158,Damaged
2024-03-03 13:46:55,2024-02-21,55724,Wrong Item
2024-03-03 13:52:30,2024-02-26,61086,Quality Issue
2024-03-03 14:14:29,2024-02-24,58299,Damaged
2024-03-03 15:31:05,2024-02-16,50377,Quality Issue
2024-03-03 17:02:20,2024-02-18,53243,Damaged
2024-03-03 17:36:27,2024-02-22,57127,Quality Issue
2024-03-03 17:48:25,2024-02-15,49007,Damaged
2024-03-03 18:29:15,2024-02-21,56078,Damaged
2024-03-03 19:40:25,2024-02-17,51793,Quality Issue
2024-03-03 19:50:40,2024-02-20,54966,Wrong Item
2024-03-03 20:21:24,2024-02-22,57188,Late Delivery
2024-03-03 20:37:29,2024-02-22,57315,Damaged
2024-03-03 20:53:35,2024-02-24,59075,Quality Issue
2024-03-03 21:53:03,2024-02-22,57328,Wrong Item
2024-03-03 22:15:01,2024-02-17,51823,Damaged
2024-03-03 22:39:54,2024-02-20,55331,Late Delivery
2024-03-03 22:53:57,2024-02-21,56384,Wrong Item
2024-03-03 22:58:52,2024-02-21,56450,Wrong Item
2024-03-03 23:15:04,2024-02-24,58744,Wrong Item
2024-03-04 01:23:45,2024-02-20,55446,Late Delivery
2024-03-04 01:34:19,2024-02-18,52900,Quality Issue
2024-03-04 02:02:00,2024-02-20,55045,Wrong Item
2024-03-04 02:11:43,2024-02-24,59479,Quality Issue
2024-03-04 03:10:16,2024-02-24,59139,Damaged
2024-03-04 03:17:46,2024-02-23,58213,Late Delivery
2024-03-04 03:45:48,2024-02-16,50642,Damaged
2024-03-04 04:23:43,2024-02-24,58682,Damaged
2024-03-04 04:52:46,2024-02-21,55961,Damaged
2024-03-04 06:45:30,2024-02-24,59039,Damaged
2024-03-04 06:50:42,2024-02-17,52127,Wrong Item
2024-03-04 07:05:10,2024-02-25,60560,Damaged
2024-03-04 09:24:01,2024-02-21,56517,Late Delivery
2024-03-04 10:14:57,2024-02-23,57851,Damaged
2024-03-04 10:29:15,2024-02-23,58189,Other
2024-03-04 11:14:26,2024-02-25,59719,Damaged
2024-03-04 11:33:50,2024-02-23,57846,Quality Issue
2024-03-04 11:35:05,2024-02-24,59309,Damaged
2024-03-04 13:56:45,2024-02-21,55873,Damaged
2024-03-04 14:45:36,2024-02-25,60407,Wrong Item
2024-03-04 16:38:17,2024-02-22,57058,Damaged
2024-03-04 17:30:25,2024-02-26,61681,Damaged
2024-03-04 17:42:44,2024-02-18,52576,Damaged
2024-03-04 18:27:47,2024-02-25,60636,Quality Issue
2024-03-04 18:42:29,2024-02-20,55411,Wrong Item
2024-03-04 20:59:36,2024-02-18,53299,Damaged
2024-03-04 21:16:42,2024-02-18,53269,Quality Issue
2024-03-04 23:26:01,2024-02-24,59166,Wrong Item
2024-03-05 00:43:17,2024-02-25,60516,Damaged
2024-03-05 00:44:16,2024-02-22,56816,Wrong Item
2024-03-05 01:10:09,2024-02-24,59008,Damaged
2024-03-05 01:39:33,2024-02-25,59770,Quality Issue
2024-03-05 03:08:55,2024-02-24,59402,Wrong Item
2024-03-05 04:18:43,2024-02-21,55796,Quality Issue
2024-03-05 06:27:07,2024-02-19,54330,Wrong Item
2024-03-05 09:22:39,2024-02-21,56420,Wrong Item
2024-03-05 09:58:21,2024-02-25,60075,Damaged
2024-03-05 10:12:23,2024-02-20,55459,Wrong Item
2024-03-05 10:16:02,2024-02-21,56438,Wrong Item
2024-03-05 10:27:29,2024-02-18,53896,Wrong Item
2024-03-05 10:36:44,2024-02-19,54240,Late Delivery
2024-03-05 11:00:18,2024-02-24,58585,Late Delivery
2024-03-05 11:02:39,2024-02-25,60442,Other
2024-03-05 11:13:00,2024-02-19,53973,Quality Issue
2024-03-05 11:27:14,2024-02-19,54208,Wrong Item
2024-03-05 12:38:17,2024-02-19,54022,Other
2024-03-05 14:03:19,2024-02-21,55987,Wrong Item
2024-03-05 14:21:29,2024-02-25,60217,Late Delivery
2024-03-05 14:42:26,2024-02-23,58128,Wrong Item
2024-03-05 16:07:08,2024-02-24,58449,Late Delivery
2024-03-05 20:16:32,2024-02-20,54785,Late Delivery
2024-03-05 20:26:18,2024-02-22,57266,Damaged
2024-03-05 20:55:01,2024-02-25,59654,Other
2024-03-05 21:21:57,2024-02-22,57047,Damaged
2024-03-05 22:44:56,2024-02-19,54424,Damaged
2024-03-05 22:46:33,2024-02-24,58889,Damaged
2024-03-05 23:45:25,2024-02-27,62552,Wrong Item
2024-03-05 23:50:22,2024-02-23,58130,Wrong Item
2024-03-06 01:07:40,2024-02-29,63604,Late Delivery
2024-03-06 01:23:20,2024-02-19,54140,Other
2024-03-06 01:25:29,2024-02-20,55313,Damaged
2024-03-06 02:54:33,2024-02-24,59060,Damaged
2024-03-06 04:13:53,2024-02-22,57011,Damaged
2024-03-06 04:24:20,2024-02-25,59795,Damaged
2024-03-06 04:40:33,2024-02-18,53437,Late Delivery
2024-03-06 05:12:37,2024-02-26,61108,Wrong Item
2024-03-06 07:46:59,2024-02-24,58735,Damaged
2024-03-06 09:17:30,2024-02-21,55867,Damaged
2024-03-06 09:38:08,2024-02-20,55543,Wrong Item
2024-03-06 09:44:05,2024-02-22,57334,Wrong Item
2024-03-06 11:45:51,2024-02-26,61147,Late Delivery
2024-03-06 12:24:43,2024-02-24,58329,Late Delivery
2024-03-06 13:34:23,2024-02-20,55015,Wrong Item
2024-03-06 14:09:00,2024-02-18,52675,Quality Issue
2024-03-06 15:13:07,2024-02-20,55017,Late Delivery
2024-03-06 15:51:34,2024-02-24,58297,Damaged
2024-03-06 17:59:40,2024-02-27,61985,Wrong Item
2024-03-06 18:14:05,2024-02-25,60348,Quality Issue
2024-03-06 18:15:57,2024-02-21,55744,Damaged
2024-03-06 21:08:46,2024-02-26,61201,Late Delivery
2024-03-06 21:26:57,2024-02-22,57624,Wrong Item
2024-03-06 22:04:05,2024-02-25,60676,Quality Issue
2024-03-06 22:12:53,2024-02-23,58042,Quality Issue
2024-03-06 22:31:47,2024-02-24,58333,Other
2024-03-06 23:02:46,2024-02-27,61805,Damaged
2024-03-06 23:41:27,2024-02-25,59717,Wrong Item
2024-03-06 23:55:23,2024-03-01,64867,Damaged
2024-03-07 00:17:29,2024-02-23,57911,Wrong Item
2024-03-07 00:52:14,2024-02-26,60986,Quality Issue
2024-03-07 00:57:13,2024-02-26,61044,Wrong Item
2024-03-07 01:21:05,2024-02-27,62269,Damaged
2024-03-07 01:53:53,2024-02-29,64228,Quality Issue
2024-03-07 03:39:20,2024-02-23,57861,Damaged
2024-03-07 04:18:55,2024-02-26,61427,Wrong Item
2024-03-07 05:04:42,2024-02-29,64256,Other
2024-03-07 06:12:09,2024-02-25,60296,Wrong Item
2024-03-07 07:21:56,2024-02-27,62473,Damaged
2024-03-07 07:42:09,2024-02-23,57649,Damaged
2024-03-07 09:32:34,2024-02-27,62049,Damaged
2024-03-07 10:29:10,2024-02-26,61168,Quality Issue
2024-03-07 11:19:15,2024-02-22,56911,Damaged
2024-03-07 11:54:30,2024-02-24,58636,Wrong Item
2024-03-07 12:03:05,2024-02-24,58996,Damaged
2024-03-07 14:18:54,2024-02-22,57205,Damaged
2024-03-07 16:12:58,2024-02-21,55944,Late Delivery
2024-03-07 16:14:44,2024-02-25,60379,Late Delivery
2024-03-07 16:21:30,2024-02-29,63466,Damaged
2024-03-07 20:20:28,2024-02-29,63552,Wrong Item
2024-03-07 23:07:50,2024-02-20,55560,Damaged
2024-03-07 23:17:18,2024-02-22,56815,Wrong Item
2024-03-07 23:29:33,2024-02-20,55197,Quality Issue
2024-03-08 00:30:23,2024-02-28,62792,Wrong Item
2024-03-08 00:51:55,2024-02-27,61890,Damaged
2024-03-08 01:16:55,2024-02-25,60431,Damaged
2024-03-08 02:03:32,2024-02-21,56626,Damaged
2024-03-08 02:40:56,2024-02-20,55382,Other
2024-03-08 04:02:21,2024-02-24,58443,Quality Issue
2024-03-08 04:34:48,2024-02-24,58942,Late Delivery
2024-03-08 05:28:42,2024-02-27,62016,Other
